City,Category,Spot Name (English),Spot Name (Korean),Neighborhood,Michelin Status,Official Source Link
Seoul,Jajangmyeon,Sinseonggak,신성각,"Gongdeok, Mapo-gu",None,https://english.visitseoul.net/restaurants/Sinseonggak_/4674
Seoul,Jajangmyeon,Osegyehyang,오세계향,"Insadong, Jongno-gu",None,https://english.visitseoul.net/restaurants/Ohsaegyehyang/ENP001670
Seoul,AYCE BBQ,Budnamujip,버드나무집,Seocho-gu,Selected,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/budnamujip
Seoul,AYCE BBQ,Geumdwaeji Sikdang,금돼지식당,"Sindang / Yaksu, Jung-gu",Bib Gourmand 2026,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=191564
Seoul,Classic Korean,Myeongdong Kyoja,명동교자 본점,"Myeongdong, Jung-gu",Selected,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=99925
Seoul,Classic Korean,Hadongkwan Main Store,하동관 본점,"Myeongdong, Jung-gu",Selected,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=192949
Seoul,Classic Korean,Chanyang-jip,찬양집,"Jongno 3-ga, Jongno-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=100177
Seoul,Classic Korean,Imun Seolleongtang,이문설농탕,Jongno-gu,Selected,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=100222
Seoul,Classic Korean,Buchon Yukhoe,부촌육회,"Gwangjang Market, Jongno-gu",VisitKorea 2020 Michelin listing (not in 2026 Bib),https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=67578
Seoul,Classic Korean,Jin Ok-hwa Halmae Dakhanmari,진옥화할매원조닭한마리,Jongno-gu (Dongdaemun chicken alley),None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=86514
Seoul,Classic Korean,Goryeo Samgyetang,고려삼계탕 본점,"City Hall, Jung-gu",VisitKorea: Michelin Guide 2023,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=99774
Busan,Milmyeon & Noodles,Gukje Milmyeon Main Branch,국제밀면 본점,Yeonje-gu,None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=95
